# Player names learned from collected titles by `nflcarddb roster`.
# Rebuilt, not hand-kept: a shipped list goes stale every draft.
#
# A name qualifies by appearing across several different sets and years.
# An insert name repeats just as often but lives in one set of one year,
# which is what separates 'Jayden Daniels' from 'Bomb Squad'.

tom brady
patrick mahomes
peyton manning
josh allen
barry sanders
aaron rodgers
jerry rice
joe burrow
justin herbert
lamar jackson
brett favre
dan marino
drew brees
emmitt smith
matthew stafford
john elway
randy moss
jalen hurts
joe montana
caleb williams
justin jefferson
christian mccaffrey
trevor lawrence
saquon barkley
dak prescott
ceedee lamb
bo nix
amon-ra st.
eli manning
drake maye
jordan love
travis kelce
ja'marr chase
derrick henry
jahmyr gibbs
ben roethlisberger
jayden daniels
jonathan taylor
super bowl
brock purdy
bijan robinson
baker mayfield
steve young
bo jackson
kyler murray
calvin johnson
rob gronkowski
jaxon smith-njigba
troy aikman
chris olave
deion sanders
jared goff
michael vick
russell wilson
jaxson dart
c.j. stroud
aaron donald
joe milton
tyreek hill
brock bowers
bryce young
micah parsons
cj stroud
dk metcalf
adrian peterson
shedeur sanders
rome odunze
aidan hutchinson
zay flowers
nico collins
davante adams
marshall faulk
cooper kupp
marvin harrison
malik nabers
tua tagovailoa
sam darnold
josh jacobs
puka nacua
myles garrett
brian thomas
george pickens
garrett wilson
terry mclaurin
nick chubb
tyler shough
devonta smith
larry fitzgerald
terrell owens
mike evans
christian watson
kurt warner
nick bosa
ashton jeanty
walter payton
james cook
drake london
kenneth walker
jaylen waddle
washington redskins
malik willis
brian urlacher
travis etienne
cam ward
travis hunter
ladd mcconkey
trey mcbride
odell beckham
michael penix
bucky irving
sam laporta
eric dickerson
deebo samuel
cam skattebo
george kittle
keon coleman
jameson williams
tetairoa mcmillan
jj mccarthy
jordan addison
ladainian tomlinson
a.j. brown
deshaun watson
j.j. mccarthy
justin fields
rashee rice
ray lewis
matthew golden
colston loveland
emeka egbuka
jerome bettis
ricky williams
treveyon henderson
chase brown
breece hall
joe namath
tee higgins
t.j. watt
courtland sutton
kyle pitts
omarion hampton
quinshon judkins
xavier worthy
stetson bennett
blake corum
terrell davis
charles woodson
tyler warren
will howard
anthony richardson
terry bradshaw
maxx crosby
lawrence taylor
alec pierce
frank gore
luther burden
printing plate
jim kelly
dalton kincaid
eddie george
dallas turner
jonathon brooks
de'von achane
ohio state
quinn ewers
kyren williams
mac jones
drew bledsoe
jerry jeudy
keenan allen
najee harris
cooper dejean
jalen milroe
marshawn lloyd
ja’marr chase
earl campbell
javonte williams
d'andre swift
bruce smith
deandre hopkins
troy polamalu
rj harvey
alvin kamara
michael pittman
josh downs
kyle hamilton
sean taylor
roger staubach
adonai mitchell
johnny manziel
reggie wayne
julio jones
fernando mendoza
riley leonard
jayden higgins
dillon gabriel
terrance ferguson
will anderson
tony dorsett
dan fouts
chris godwin
xavier legette
steve mcnair
michael wilson
bhayshul tuten
color match
daniel jones
michael irvin
patrick surtain
tank dell
chris johnson
warren moon
dj moore
donovan mcnabb
joe theismann
luke kuechly
san diego
tony romo
ed reed
abdul carter
kyle williams
ricky pearsall
christian gonzalez
tim tebow
jayden reed
joe greene
romeo doubs
stefon diggs
julian edelman
mike alstott
penn state
andre johnson
game worn
drew allar
kaleb johnson
mason taylor
tyson bagent
tez johnson
quentin johnston
bart starr
geno smith
marcus allen
mike singletary
marshawn lynch
derek carr
david montgomery
ahmad sauce
rhamondre stevenson
tim brown
ezekiel elliott
randall cunningham
ty simpson
caleb downs
set break
fred warner
mason graham
barry bonds
devon witherspoon
cam newton
houston oilers
will levis
aaron jones
jordy nelson
chad johnson
roger craig
antonio gates
isaac teslaa
jack bech
jaylin noel
junior seau
braelon allen
kenny pickett
andrew luck
zach charbonnet
champ bailey
j.j. watt
julius peppers
arch manning
jalen royals
pat bryant
jalen carter
chuba hubbard
jamarr chase
archie manning
ray davis
fran tarkenton
laiatu latu
hines ward
philip rivers
adam vinatieri
cris carter
bobby wagner
tre harris
world cup
elic ayomanor
national convention
tai felton
carson schwesinger
trevor etienne
will johnson
jameis winston
derrick thomas
johnny unitas
jahan dotson
tre tucker
richard sherman
rod woodson
marcus mariota
tank bigsby
fred taylor
keyshawn johnson
pro set
carnell tate
bryce underwood
elijah arroyo
jaxon dart
kayshon boutte
khalil shakir
notre dame
brian dawkins
autographs au
devin hester
hendon hooker
jalen mcmillan
jalen ramsey
daunte culpepper
spencer rattler
kirk cousins
jaylen wright
tim duncan
drew pearson
tony gonzalez
mark andrews
chase young
john riggins
steve smith
jeremiyah love
carson beck
jalon daniels
press proof
mykel williams
thurman thomas
aidan o'connell
drew lock
patrick willis
mike ditka
zach wilson
edgerrin james
tony pollard
amari cooper
tyler lockett
cade klubnik
kyle mccord
jack sawyer
jim brown
season ticket
gale sayers
jared verse
roman wilson
christian okoye
tj watt
jonathan mingo
joey bosa
trey benson
jake plummer
sterling sharpe
trent mcduffie
phil simms
matt ryan
michael strahan
xtra points
dante moore
woody marks
